RegionId;Name;Red;Green;Blue;TerrainId
1;1;230;81;119;1
2;2;0;0;55;2
3;3;0;0;205;2
4;4;0;0;232;3
5;5;0;2;240;3
6;6;0;3;20;2
7;7;0;3;170;2
8;8;0;3;225;4
9;9;0;4;248;3
10;10;0;6;85;2
11;11;0;6;135;2
12;12;0;6;190;5
13;13;0;8;244;3
14;14;0;9;155;5
15;15;0;9;200;2
16;16;0;10;232;3
17;17;0;12;15;5
18;18;0;12;165;2
19;19;0;12;240;3
20;20;0;14;248;3
21;21;0;15;80;6
22;22;0;15;130;6
23;23;0;15;185;5
24;24;0;15;236;3
25;25;0;17;244;3
26;26;0;18;45;2
27;27;0;18;150;4
28;28;0;19;240;3
29;29;0;20;248;3
30;30;0;21;10;2
31;31;0;21;65;2
32;32;0;21;215;2
33;33;0;22;236;3
34;34;0;23;244;3
35;35;0;24;30;5
36;36;0;24;75;7
37;37;0;24;180;2
38;38;0;27;40;6
39;39;0;27;95;2
40;40;0;27;145;2
41;41;0;27;248;3
42;42;0;28;236;3
43;43;0;29;244;3
44;44;0;30;5;6
45;45;0;30;60;2
46;46;0;30;210;2
47;47;0;31;232;3
48;48;0;32;240;3
49;49;0;33;25;2
50;50;0;33;248;3
51;51;0;34;236;3
52;52;0;36;90;5
53;53;0;36;195;5
54;54;0;36;244;3
55;55;0;37;232;3
56;56;0;38;240;3
57;57;0;39;55;2
58;58;0;39;205;6
59;59;0;39;248;3
60;60;0;42;20;2
61;61;0;42;170;2
62;62;0;42;225;2
63;63;0;45;85;2
64;64;0;45;135;5
65;65;0;45;190;6
66;66;0;48;50;5
67;67;0;48;155;5
68;68;0;51;15;5
69;69;0;51;70;2
70;70;0;51;220;2
71;71;0;54;35;2
72;72;0;54;185;2
73;73;0;57;0;5
74;74;0;57;45;2
75;75;0;57;150;2
76;76;0;60;10;4
77;77;0;60;65;2
78;78;0;60;215;8
79;79;0;63;30;2
80;80;0;63;180;2
81;81;0;66;95;2
82;82;0;66;145;2
83;83;0;66;200;5
84;84;0;69;60;5
85;85;0;69;165;2
86;86;0;69;210;2
87;87;0;72;25;2
88;88;0;72;130;2
89;89;0;72;175;2
90;90;0;75;90;2
91;91;0;75;140;6
92;92;0;78;55;2
93;93;0;78;160;5
94;94;0;81;20;2
95;95;0;81;75;7
96;96;0;81;225;7
97;97;0;84;40;2
98;98;0;84;85;2
99;99;0;84;190;2
100;100;0;87;5;2
101;101;0;87;50;2
102;102;0;87;155;6
103;103;0;90;15;2
104;104;0;90;70;5
105;105;0;90;220;2
106;106;0;93;35;2
107;107;0;93;185;4
108;108;0;96;0;2
109;109;0;96;150;2
110;110;0;96;205;2
111;111;0;99;65;6
112;112;0;99;170;2
113;113;0;102;30;2
114;114;0;102;135;2
115;115;0;105;95;6
116;116;0;105;145;5
117;117;0;105;200;2
118;118;0;108;60;2
119;119;0;108;165;5
120;120;0;111;25;2
121;121;0;111;80;9
122;122;0;111;130;4
123;123;0;114;45;5
124;124;0;114;90;2
125;125;0;114;195;2
126;126;0;117;10;2
127;127;0;117;55;2
128;128;0;120;20;4
129;129;0;120;75;2
130;130;0;120;225;2
131;131;0;123;40;6
132;132;0;123;190;2
133;133;0;126;5;2
134;134;0;126;155;2
135;135;0;126;210;5
136;136;0;129;70;2
137;137;0;129;175;5
138;138;0;129;220;5
139;139;0;132;35;2
140;140;0;132;185;5
141;141;0;135;0;2
142;142;0;135;150;5
143;143;0;135;205;2
144;144;0;138;170;2
145;145;0;141;30;2
146;146;0;141;85;5
147;147;0;144;50;2
148;148;0;144;95;2
149;149;0;144;200;5
150;150;0;147;15;2
151;151;0;147;60;2
152;152;0;147;165;2
153;153;0;150;25;5
154;154;0;150;80;2
155;155;0;150;130;2
156;156;0;153;45;5
157;157;0;153;195;2
158;158;0;156;160;5
159;159;0;156;215;6
160;160;0;159;75;2
161;161;0;159;180;5
162;162;0;159;225;2
163;163;0;162;40;2
164;164;0;162;145;2
165;165;0;162;190;2
166;166;0;165;5;2
167;167;0;165;155;2
168;168;0;168;70;6
169;169;0;168;175;5
170;170;0;171;35;2
171;171;0;171;90;2
172;172;0;171;140;2
173;173;0;174;0;6
174;174;0;174;205;2
175;175;0;177;20;5
176;176;0;177;65;7
177;177;0;177;170;5
178;178;0;180;30;6
179;179;0;180;85;2
180;180;0;180;135;5
181;181;0;183;50;2
182;182;0;183;200;2
183;183;0;186;15;2
184;184;0;186;165;2
185;185;0;186;220;2
186;186;0;189;80;2
187;187;0;189;185;2
188;188;0;192;45;6
189;189;0;192;150;5
190;190;0;192;195;6
191;191;0;195;10;2
192;192;0;195;160;6
193;193;0;198;75;2
194;194;0;198;180;2
195;195;0;201;40;2
196;196;0;201;145;5
197;197;0;204;5;2
198;198;0;204;60;5
199;199;0;204;210;6
200;200;0;207;25;9
201;201;0;207;70;2
202;202;0;207;175;2
203;203;0;210;35;5
204;204;0;210;90;5
205;205;0;210;140;2
206;206;1;0;10;5
207;207;1;0;160;2
208;208;1;0;215;2
209;209;1;0;236;3
210;210;1;2;244;3
211;211;1;3;75;5
212;212;1;3;180;5
213;213;1;4;232;3
214;214;1;6;40;5
215;215;1;6;95;7
216;216;1;6;145;5
217;217;1;6;240;3
218;218;1;8;248;3
219;219;1;9;5;6
220;220;1;10;236;3
221;221;1;12;25;5
222;222;1;12;70;5
223;223;1;12;175;5
224;224;1;12;244;3
225;225;1;14;232;3
226;226;1;15;35;2
227;227;1;15;90;2
228;228;1;15;140;2
229;229;1;15;240;3
230;230;1;17;248;3
231;231;1;18;0;2
232;232;1;18;55;5
233;233;1;18;205;2
234;234;1;19;244;3
235;235;1;20;232;3
236;236;1;21;20;5
237;237;1;21;170;6
238;238;1;21;225;2
239;239;1;22;240;3
240;240;1;23;248;3
241;241;1;24;85;7
242;242;1;24;135;2
243;243;1;24;190;2
244;244;1;24;236;3
245;245;1;25;244;3
246;246;1;27;50;5
247;247;1;27;155;5
248;248;1;27;200;4
249;249;1;27;232;3
250;250;1;28;240;3
251;251;1;29;248;3
252;252;1;30;165;2
253;253;1;30;220;6
254;254;1;31;236;3
255;255;1;32;244;3
256;256;1;33;130;2
257;257;1;33;185;2
258;258;1;33;232;3
259;259;1;34;240;3
260;260;1;36;45;2
261;261;1;36;150;5
262;262;1;36;248;3
263;263;1;37;236;3
264;264;1;38;244;3
265;265;1;39;10;2
266;266;1;39;215;5
267;267;1;39;232;3
268;268;1;42;30;2
269;269;1;42;180;2
270;270;1;45;40;2
271;271;1;45;95;5
272;272;1;48;5;5
273;273;1;48;60;5
274;274;1;48;210;5
275;275;1;51;25;2
276;276;1;51;175;4
277;277;1;54;90;2
278;278;1;57;55;6
279;279;1;57;160;5
280;280;1;57;205;2
281;281;1;60;20;2
282;282;1;60;170;2
283;283;1;63;85;2
284;284;1;63;135;6
285;285;1;63;190;4
286;286;1;66;155;2
287;287;1;69;15;2
288;288;1;69;70;5
289;289;1;69;220;5
290;290;1;72;35;5
291;291;1;72;80;5
292;292;1;72;185;2
293;293;1;75;0;5
294;294;1;75;150;2
295;295;1;78;10;5
296;296;1;78;65;5
297;297;1;78;215;5
298;298;1;81;30;2
299;299;1;81;180;2
300;300;1;84;95;2
301;301;1;84;145;4
302;302;1;84;200;2
303;303;1;87;60;5
304;304;1;87;165;7
305;305;1;87;210;2
306;306;1;90;25;9
307;307;1;93;90;5
308;308;1;93;140;2
309;309;1;93;195;5
310;310;1;96;55;2
311;311;1;96;160;9
312;312;1;99;20;5
