Cenél Conaill;Cenél Conaill
Ulaid;Ulaid
Dál nAraidi;Dál nAraidi
Uí Echach Cobo;Uí Echach Cobo
Dál Fiatach;Dál Fiatach
Airgíalla;Airgíalla
Cenél nEógain;Cenél nEógain
Ailech;Ailech
Bréifne;Bréifne
Vennicnii;Vennicnii
Tír Chonaill;Tír Chonaill
Ireland;Ireland
England;England
Great Britain and Ireland;Great Britain and Ireland
Great Britain;Great Britain
European Economic Community;European Economic Community
European Union;European Union
Voluntii;Voluntii
Fir Manach;Fir Manach
Tír Eoghain;Tír Eoghain
Northern Ireland;Northern Ireland
Great Britain and Northern Ireland;Great Britain and Northern Ireland
Robogdii;Robogdii
Darini;Darini
Oriel;Oriel
Uaithni;Uaithni
Nagnatae;Nagnatae
Eblani;Eblani
Cauci;Cauci
Manapii;Manapii
Coriondi;Coriondi
Gangani;Gangani
Brigantes;Brigantes
Velabri;Velabri
Vodiae;Vodiae
Iverni;Iverni
Connacht;Connacht
East Breifne;East Breifne
West Breifne;West Breifne
Ciannachta;Ciannachta
Brega;Brega
Mide;Mide
Osraige;Osraige
Munster;Munster
Dublin;Dublin
Leinster;Leinster
Cruithin;Priteni
Dumnonii;Dumnonii
Durotriges;Durotriges
Belgae;Belgae
Regni;Regni
Cantiaci;Cantiaci
Atrebates;Atrebates
Iceni;Iceni
Trinovantes;Trinovantes
Catuvellani;Catuvellani
Corieltauvi;Corieltauvi
Dobunni;Dobunni
Silures;Silures
Demetae;Demetae
Ordovices;Ordovices
Parisi;Parisi
Deceangli;Deceangli
Carvetii;Carvetii
Novantae;Novantae
Selgovae;Selgovae
Votadini;Votadini
Damnonii;Damnonii
Venicones;Venicones
Epidii;Epidii
Taexali;Taexali
Vacomagi;Vacomagi
Creones;Creones
Caledonian;Caledonia
Carnonacae;Carnonacae
Decantae;Decantae
Caereni;Caereni
Cornovii;Cornovii
Smertae;Smertae
Rome;Rome
Britain;Britain
Maxima Caesariensis;Maxima Caesariensis
Britanniarum;Britanniarum
Gaul;Gaul
Britannia Superior;Britannia Superior
Britannia Prima;Britannia Prima
Caer Colun;Caer Colun
Gangari;Gangari
Setantii;Setantii
Caledonii;Caledonii
Lugi;Lugi
Dál Riata;Dál Riata
Britannia Inferior;Britannia Inferior
Flavia Caesariensis;Flavia Caesariensis
Western Rome;Western Rome
Roman Empire;Roman Empire
Britain and northern Gaul;Britain and northern Gaul
Saxons;Saxons
Rheged;Rheged
Yr Hen Ogledd;Yr Hen Ogledd
Britannia Secunda;Britannia Secunda
the Pennines;the Pennines
Caer Baddan;Caer Baddan
Ebrauc;Ebrauc
Brycheiniog;Brycheiniog
Venedotia;Venedotia
Gwynedd;Gwynedd
Lindisware;Lindisware
Cynwidion;Cynwidion
Ceint;Ceint
Cantware;Cantware
Demetia;Demetia
Cernyw;Cernyw
Glywyssing;Glywyssing
Garthmadrun;Garthmadrun
Dyfed;Dyfed
Rhegin;Rhegin
Sussex;Sussex
Guenet;Guenet
Elmet;Elmet
Dumnonia;Dumnonia
Bernaccia;Bernaccia
Pagenses;Pagenses
Caer Lerion;Caer Lerion
Caer Londein;Caer Londein
Caer Went;Caer Went
Caer Gwinntguic;Caer Gwinntguic
Caer Celemion;Caer Celemion
Maeatae;Maeatae
