Cenél Conaill;Cenél Conaill
Ulaid;Ulaid
Dál nAraidi;Dál nAraidi
Uí Echach Cobo;Uí Echach Cobo
Dál Fiatach;Dál Fiatach
Airgíalla;Airgíalla
Cenél nEógain;Cenél nEógain
Ailech;Ailech
Bréifne;Bréifne
Vennicnii;Vennicnii
Tír Chonaill;Tír Chonaill
Ireland;Irlanda
England;Inglaterra
Great Britain and Ireland;Gran Bretaña e Irlanda
Great Britain;Gran Bretaña
European Economic Community;Comunidad Económica Europea
European Union;Unión Europea
Voluntii;Voluntii
Fir Manach;Fir Manach
Tír Eoghain;Tír Eoghain
Northern Ireland;Irlanda del Norte
Great Britain and Northern Ireland;Gran Bretaña e Irlanda del Norte
Robogdii;Robogdii
Darini;Darini
Oriel;Oriel
Uaithni;Uaithni
Nagnatae;Nagnatae
Eblani;Eblani
Cauci;Cauci
Manapii;Manapii
Coriondi;Coriondi
Gangani;Gangani
Brigantes;Brigantes
Velabri;Velabri
Vodiae;Vodiae
Iverni;Iverni
Connacht;Connacht
East Breifne;Breifne Oriental
West Breifne;Breifne Occidental
Ciannachta;Ciannachta
Brega;Brega
Mide;Mide
Osraige;Osraige
Munster;Munster
Dublin;Dublín
Leinster;Leinster
Cruithin;Priteni
Dumnonii;Dumnonii
Durotriges;Durotriges
Belgae;Belgae
Regni;Regni
Cantiaci;Cantiaci
Atrebates;Atrebates
Iceni;Iceni
Trinovantes;Trinovantes
Catuvellani;Catuvellani
Corieltauvi;Corieltauvi
Dobunni;Dobunni
Silures;Silures
Demetae;Demetae
Ordovices;Ordovices
Parisi;Parisi
Deceangli;Deceangli
Carvetii;Carvetii
Novantae;Novantae
Selgovae;Selgovae
Votadini;Votadini
Damnonii;Damnonii
Venicones;Venicones
Epidii;Epidii
Taexali;Taexali
Vacomagi;Vacomagi
Creones;Creones
Caledonian;Caledonia
Carnonacae;Carnonacae
Decantae;Decantae
Caereni;Caereni
Cornovii;Cornovii
Smertae;Smertae
Rome;Roma
Britain;Britania
Maxima Caesariensis;Maxima Caesariensis
Britanniarum;Britanniarum
Gaul;Las Galias
Britannia Superior;Britania Superior
Britannia Prima;Britania Primera
Caer Colun;Caer Colun
Gangari;Gangari
Setantii;Setantii
Caledonii;Caledonii
Lugi;Lugi
Dál Riata;Dál Riata
Britannia Inferior;Britania Inferior
Flavia Caesariensis;Flavia Caesariensis
Western Rome;Roma Occidental
Roman Empire;Imperio Romano
Britain and northern Gaul;Britania y norte de la Galia
Saxons;Sajones
Rheged;Rheged
Yr Hen Ogledd;Yr Hen Ogledd
Britannia Secunda;Britania Secunda
the Pennines;los Peninos
Caer Baddan;Caer Baddan
Ebrauc;Ebrauc
Brycheiniog;Brycheiniog
Venedotia;Venedotia
Gwynedd;Gwynedd
Lindisware;Lindisware
Cynwidion;Cynwidion
Ceint;Ceint
Cantware;Cantware
Demetia;Demetia
Cernyw;Cernyw
Glywyssing;Glywyssing
Garthmadrun;Garthmadrun
Dyfed;Dyfed
Rhegin;Rhegin
Sussex;Sussex
Guenet;Guenet
Elmet;Elmet
Dumnonia;Dumnonia
Bernaccia;Bernaccia
Pagenses;Pagenses
Caer Lerion;Caer Lerion
Caer Londein;Caer Londein
Caer Went;Caer Went
Caer Gwinntguic;Caer Gwinntguic
Caer Celemion;Caer Celemion
Maeatae;Maeatae
Alt Clut;Alt Clut
Picts;Pictos
Yamatai;Yamatai
Ainu;Ainu
Nakoku;Nakoku
Kununokuni;Kununokuni
Yamato;Yamato
