Kingdom;Regne
Confederate Kingdom;Confederació de regnes
Tribe;Tribu
Kindred;Clan
County;Comtat
United kingdom;Regne unit
Free state;Estat lliure
Parliamentary republic;República parlamentària
Empire;Imperi
Economic union;Unió econòmica
Economic and political union;Unió econòmica i política
Elective monarchy;Monarquia electiva
Viceroyalty;Virregnat
Constituent country;País constituent
Constitutional monarchy;Monarquia constitucional
Lordship;Senyoriu
Tribal confederation;Confederació tribal
Imperial province;Província imperial
Province;Província
Diocese;Diòcesi
Praetorian prefect;Prefecte del pretori
Diarchy;Diarquia
Tetrarchy;Tetrarquia
Triumvirate;Triumvirat
