Kingdom;Kingdom
Confederate Kingdom;Confederate kingdom
Tribe;Tribe
Kindred;Kindred
County;County
United kingdom;United kingdom
Free state;Free state
Parliamentary republic;Parliamentary republic
Empire;Empire
Economic union;Economic union
Economic and political union;Economic and political union
Elective monarchy;Elective monarchy
Viceroyalty;Viceroyalty
Constituent country;Constituent country
Constitutional monarchy;Constitutional monarchy
Lordship;Lordship
Tribal confederation;Tribal confederation
Imperial province;Imperial province
Province;Province
Diocese;Diocese
Praetorian prefect;Praetorian prefect
