Kingdom;Reino
Confederate Kingdom;Confederación de reinos
Tribe;Tribu
Kindred;Clan
County;Condado
United kingdom;Reino unido
Free state;Estado libre
Parliamentary republic;República parlamentaria
Empire;Imperio
Economic union;Unión económica
Economic and political union;Unión económica y política
Elective monarchy;Monarquía electiva
Viceroyalty;Virreinato
Constituent country;País constituyente
Constitutional monarchy;Monarquía constitucional
Lordship;Señorío
Tribal confederation;Confederación tribal
Imperial province;Provincia imperial
Province;Provincia
Diocese;Diócesis
Praetorian prefect;Prefecto del pretorio
