Gaelic settlement;Assentament gaèlic
Ivernis;Ivernis
Menapia;Menapia
Nagnata;Nagnata
Eṁaın Ṁacha;Eṁaın Ṁacha
Britain settlement;Assentament brità
Camulodunom;Camulodunum
Camulodunon;Camulodunon
Roman settlement;Assentament romà
Gaul settlement;Assentament gal
Portus Ritupis;Portus Ritupis
Noviomagus Reginorum;Noviomagus Reginorum
Isca Dumnoniorum;Isca Dumnoniorum
Verlamion;Verlamion
Verulamium;Verulamium
Calleva Atrebatum;Calleva Atrebatum
Glevum;Glevum
Ratae Corieltauvorum;Ratae Corieltauvorum
Manduessedum;Manduessedum
Viroconium;Viroconium
Lindum Colonia;Lindum Colonia
Eboracum;Eboracum
Aquae Sulis;Aquae Sulis
Durotrigum;Durotrigum
Venta Belgarum;Venta Belgarum
Sorviodunum;Sorviodunum
Durovernum Cantiacorum;Durovernum Cantiacorum
Londinium;Londinium
Caesaromagus ;Caesaromagus 
Venta Icenorum;Venta Icenorum
Isca Silurum;Isca Silurum
Corinium Dobunnorum;Corinium Dobunnorum
Cruachan;Cruachan
Tara;Tara
Osraige (Capital);Osraige (Capital)
Caiseal;Caiseal
